election,Cond committee,STV winners,RCV winners,prop get at least one STV,prop get at least one RCV,prop get all STV,prop get all RCV,parties STV,parties RCV,num parties STV,num parties RCV
dumgal17-ballots/dumgal17-03.blt,BD,BD,BD,0.626784942,0.626784942,0.266551277,0.266551277,"Con, Ind","Con, Ind",2,2
dumgal17-ballots/dumgal17-02.blt,DE,DE,DE,0.647714604,0.647714604,0.098290598,0.098290598,"Con, Ind","Con, Ind",2,2
dumgal17-ballots/dumgal17-01.blt,CF,CF,CF,0.816318786,0.816318786,0.355787476,0.355787476,"Ind, Con","Ind, Con",2,2
dumgal17-ballots/dumgal17-11.blt,BC,BD,BC,0.815539305,0.625959781,0.118647166,0.495612431,"Con, SNP","Con, Con",2,1
dumgal17-ballots/dumgal17-05.blt,AG,AG,AG,0.710532544,0.710532544,0.355502959,0.355502959,"Con, Lab","Con, Lab",2,2
dumgal17-ballots/dumgal17-04.blt,AB,AB,AB,0.744748737,0.744748737,0.313746344,0.313746344,"Con, Ind","Ind, Con",2,2
dumgal17-ballots/dumgal17-10.blt,AB,AB,AB,0.635268984,0.635268984,0.276752768,0.276752768,"Con, LD","Con, LD",2,2
dumgal17-ballots/dumgal17-06.blt,FG,AD,AF,0.648744671,0.647560398,0.1684036,0.219090478,"Con, SNP","Con, Lab",2,2
dumgal17-ballots/dumgal17-12.blt,AF,AC,AF,0.713761468,0.59059633,0.093577982,0.360091743,"Con, Ind","Con, Con",2,1
dumgal17-ballots/dumgal17-07.blt,AC,AB,AC,0.746303142,0.599584104,0.222273567,0.359750462,"Lab, Con","Lab, Lab",2,1
dumgal17-ballots/dumgal17-09.blt,EG,EG,EG,0.609495549,0.609495549,0.167556874,0.167556874,"Con, Lab","Lab, Con",2,2
dumgal17-ballots/dumgal17-08.blt,AC,AF,AC,0.637565078,0.477973568,0.023828594,0.34060873,"Con, SNP","Con, Con",2,1
w-lothian17-ballots/w-lothian17-06.blt,DG,CD,DG,0.799377631,0.569467326,0.053999634,0.410214168,"Lab, SNP","Lab, Lab",2,1
w-lothian17-ballots/w-lothian17-07.blt,FG,AF,FG,0.747881029,0.468793343,0.046386192,0.329018339,"Lab, SNP","Lab, Lab",2,1
w-lothian17-ballots/w-lothian17-05.blt,AE,AE,AE,0.646339807,0.646339807,0.041151704,0.041151704,"SNP, Lab","Lab, SNP",2,2
w-lothian17-ballots/w-lothian17-04.blt,AD,AD,AD,0.685856865,0.685856865,0.048685492,0.048685492,"Lab, SNP","Lab, SNP",2,2
w-lothian17-ballots/w-lothian17-01.blt,AD,DG,AD,0.793098689,0.642097999,0.142028986,0.309178744,"Con, SNP","Con, Lab",2,2
w-lothian17-ballots/w-lothian17-03.blt,BC,AC,BC,0.61256888,0.467462608,0.100892154,0.190107583,"SNP, Con","SNP, SNP",2,1
w-lothian17-ballots/w-lothian17-02.blt,AB,AE,AB,0.678771351,0.449691402,0.109659825,0.212573561,"SNP, Con","SNP, SNP",2,1
w-lothian17-ballots/w-lothian17-09.blt,AC,AC,AC,0.848578017,0.848578017,0.314757879,0.314757879,"Ind, SNP","Ind, SNP",2,2
w-lothian17-ballots/w-lothian17-08.blt,CG,AC,CG,0.673556942,0.492199688,0.039911596,0.282111284,"SNP, Lab","Lab, Lab",2,1
glasgow12/glasgow12-07-recalc.blt,AD,AD,AD,0.819347319,0.819347319,0.201194639,0.201194639,"Lab, SNP","Lab, SNP",2,2
glasgow12/glasgow12-08.blt,IJ,EI,IJ,0.808483106,0.517038102,0.052911574,0.372681524,"Lab, SNP","Lab, Lab",2,1
glasgow12/glasgow12-20.blt,BC,BI,BC,0.858789625,0.560330786,0.059265756,0.451948377,"Lab, SNP","Lab, Lab",2,1
glasgow12/glasgow12-21.blt,BF,BF,BF,0.654894949,0.654894949,0.313962152,0.313962152,"Lab, Lab","Lab, Lab",1,1
glasgow12/glasgow12-09.blt,FI,IM,FI,0.808384548,0.614354697,0.071334504,0.465759438,"Lab, SNP","Lab, Lab",2,1
glasgow12/glasgow12-19.blt,BG,BC,BG,0.722727273,0.619602273,0.050284091,0.270596591,"Lab, SNP","Lab, Lab",2,1
glasgow12/glasgow12-18.blt,CG,CD,CG,0.73898111,0.62850601,0.059387521,0.284344591,"Lab, SNP","Lab, Lab",2,1
