election,Cond committee,STV winners,RCV winners,prop get at least one STV,prop get at least one RCV,prop get all STV,prop get all RCV,parties STV,parties RCV,num parties STV,num parties RCV
dumgal17-ballots/dumgal17-03.blt,BDH,ABD,BDH,0.897230636,0.814149719,0.187581134,0.326049329,"Con, SNP, Ind","Con, Ind, Ind",3,3
dumgal17-ballots/dumgal17-02.blt,DEGI,CDEG,DEGI,0.949461167,0.826086957,0.283166109,0.448532144,"Con, Ind, Con, SNP","Con, Ind, Con, Ind",3,3
dumgal17-ballots/dumgal17-01.blt,CFGH,CFGH,CFGH,0.970967742,0.970967742,0.475332068,0.475332068,"Ind, Con, Lab, SNP","Ind, Con, Lab, SNP",4,4
dumgal17-ballots/dumgal17-11.blt,BCDE,BCDE,BCDE,0.993235832,0.993235832,0.591407678,0.591407678,"Con, Con, SNP, Lab","Con, Con, Lab, SNP",3,3
dumgal17-ballots/dumgal17-05.blt,ABG,ABG,ABG,0.946272189,0.946272189,0.324023669,0.324023669,"Con, Lab, SNP","Con, Lab, SNP",3,3
dumgal17-ballots/dumgal17-04.blt,ABD,ABF,ABD,0.954799256,0.871310822,0.233182664,0.466099442,"Con, Ind, SNP","Ind, Con, Ind",3,3
dumgal17-ballots/dumgal17-10.blt,ABCF,ABCD,ABCF,0.971256555,0.911050689,0.35327248,0.423771606,"Con, LD, Lab, SNP","Con, LD, Lab, Lab",4,3
dumgal17-ballots/dumgal17-06.blt,ADFG,ADFG,ADFG,0.975840834,0.975840834,0.418048318,0.418048318,"Con, SNP, Lab, Lab","Con, Lab, Lab, SNP",3,3
dumgal17-ballots/dumgal17-12.blt,ACF,ABF,ACF,0.867201835,0.82706422,0.303669725,0.376834862,"Con, Lab, Con","Con, Con, Ind",2,2
dumgal17-ballots/dumgal17-07.blt,ABC,ABE,ABC,0.948937153,0.882624769,0.241913124,0.457948244,"Con, Lab, SNP","Lab, Lab, Con",3,2
dumgal17-ballots/dumgal17-09.blt,AEFG,AEFG,AEFG,0.9256182,0.9256182,0.292185955,0.292185955,"Con, Lab, SNP, Lab","Lab, Con, Lab, SNP",3,3
dumgal17-ballots/dumgal17-08.blt,ABCE,ACEF,ABCE,0.93031638,0.836203444,0.216659992,0.294953945,"Con, Con, SNP, Lab","Con, Con, Ind, Lab",3,3
w-lothian17-ballots/w-lothian17-06.blt,CDG,CDG,CDG,0.904997254,0.904997254,0.274940509,0.274940509,"Lab, SNP, Lab","Lab, Lab, SNP",2,2
w-lothian17-ballots/w-lothian17-07.blt,ABFG,ACFG,ABFG,0.983048235,0.882108183,0.367545076,0.276159655,"Lab, SNP, Con, Lab","Lab, Lab, SNP, SNP",3,2
w-lothian17-ballots/w-lothian17-05.blt,ADEG,ADEH,ADEG,0.977998099,0.865951379,0.14206166,0.270949341,"Lab, Con, SNP, SNP","Lab, SNP, SNP, SNP",3,2
w-lothian17-ballots/w-lothian17-04.blt,ADEG,ACDG,ADEG,0.984177215,0.900194742,0.152872444,0.211295034,"Lab, SNP, Con, SNP","Lab, SNP, SNP, Lab",3,2
w-lothian17-ballots/w-lothian17-01.blt,ADG,ADG,ADG,0.9605245,0.9605245,0.211732229,0.211732229,"Con, Lab, SNP","Con, Lab, SNP",3,3
w-lothian17-ballots/w-lothian17-03.blt,BCEG,ACEG,BCEG,0.975334558,0.832983469,0.122015219,0.260430333,"Con, Lab, SNP, SNP","SNP, SNP, SNP, Lab",3,2
w-lothian17-ballots/w-lothian17-02.blt,ABCH,ABCE,ABCH,0.975742787,0.825319363,0.15516004,0.258504378,"SNP, Con, Lab, SNP","SNP, SNP, SNP, Lab",3,2
w-lothian17-ballots/w-lothian17-09.blt,ACD,ACD,ACD,0.963105304,0.963105304,0.389700231,0.389700231,"Ind, SNP, Lab","Ind, SNP, Lab",3,3
w-lothian17-ballots/w-lothian17-08.blt,ABCG,ACDG,ABCG,0.967108684,0.879095164,0.238949558,0.169396776,"Lab, SNP, Lab, Con","Lab, Lab, SNP, SNP",3,2
glasgow12/glasgow12-07-recalc.blt,ADF,ADE,ADF,0.939831002,0.887237762,0.206585082,0.337995338,"Lab, SNP, Grn","Lab, SNP, SNP",3,2
glasgow12/glasgow12-08.blt,EFIJ,EFIJ,EFIJ,0.92379583,0.92379583,0.486987779,0.486987779,"Lab, SNP, Lab, SNP","Lab, Lab, SNP, SNP",2,2
glasgow12/glasgow12-20.blt,BCGI,BCGI,BCGI,0.942363112,0.942363112,0.561458464,0.561458464,"Lab, SNP, Lab, SNP","Lab, Lab, SNP, SNP",2,2
glasgow12/glasgow12-21.blt,ABFI,ABFI,ABFI,0.962002682,0.962002682,0.537177768,0.537177768,"Lab, SNP, Lab, Lab","Lab, Lab, Lab, SNP",2,2
glasgow12/glasgow12-09.blt,FIM,FIM,FIM,0.900570676,0.900570676,0.355575066,0.355575066,"Lab, Lab, SNP","Lab, Lab, SNP",2,2
glasgow12/glasgow12-19.blt,BCGH,BCGH,BCGH,0.942329545,0.942329545,0.490482955,0.490482955,"Lab, Lab, SNP, Lab","Lab, Lab, Lab, SNP",2,2
glasgow12/glasgow12-18.blt,CDGJ,CDGJ,CDGJ,0.940326274,0.940326274,0.476388094,0.476388094,"Lab, SNP, Lab, Lab","Lab, Lab, Lab, SNP",2,2
glasgow12/glasgow12-15.blt,CEFG,CEFG,CEFG,0.892965155,0.892965155,0.424589086,0.424589086,"Lab, SNP, Lab, SNP","Lab, Lab, SNP, SNP",2,2
glasgow12/glasgow12-01.blt,BCDG,ABCD,BCDG,0.953733766,0.891369048,0.3495671,0.446834416,"Lab, Lab, SNP, LD","Lab, Lab, SNP, SNP",3,2
glasgow12/glasgow12-14.blt,ABDE,ABDE,ABDE,0.948153619,0.948153619,0.453766617,0.453766617,"Lab, Lab, SNP, Lab","Lab, Lab, Lab, SNP",2,2
glasgow12/glasgow12-02.blt,CEF,CEF,CEF,0.803034811,0.803034811,0.235049093,0.235049093,"Lab, SNP, Lab","Lab, Lab, SNP",2,2
glasgow12/glasgow12-16.blt,EFIJ,EFJL,EFIJ,0.939797212,0.90256654,0.311787072,0.44486692,"Lab, SNP, Lab, Grn","Lab, Lab, SNP, SNP",3,2
glasgow12/glasgow12-17.blt,CEI,CEI,CEI,0.932019704,0.932019704,0.389901478,0.389901478,"Lab, Lab, SNP","Lab, Lab, SNP",2,2
glasgow12/glasgow12-03.blt,BDEG,BDEG,BDEG,0.916165991,0.916165991,0.483582507,0.483582507,"Lab, Lab, SNP, SNP","Lab, Lab, SNP, SNP",2,2
glasgow12/glasgow12-13.blt,ADFI,ADFI,ADFI,0.947977583,0.947977583,0.486963938,0.486963938,"Lab, Lab, SNP, Lab","Lab, Lab, Lab, SNP",2,2
glasgow12/glasgow12-12.blt,BDEJ,BDEJ,BDEJ,0.907770593,0.907770593,0.249655465,0.249655465,"Lab, Grn, SNP, SNP","Lab, SNP, SNP, Grn",3,3
glasgow12/glasgow12-06.blt,CDH,CFH,CDH,0.942709712,0.811854988,0.200052924,0.350224927,"Lab, SNP, Con","SNP, SNP, Lab",3,2
glasgow12/glasgow12-10.blt,CEHI,ACEI,CEHI,0.969708373,0.932455315,0.382878645,0.453621825,"Lab, Lab, SNP, Grn","Lab, Lab, SNP, SNP",3,2
glasgow12/glasgow12-04.blt,ABIJ,ABIJ,ABIJ,0.941578241,0.941578241,0.50701305,0.50701305,"Lab, Lab, SNP, SNP","Lab, Lab, SNP, SNP",2,2
glasgow12/glasgow12-05.blt,AIJM,AEIM,AIJM,0.896302715,0.832322357,0.202484113,0.186019642,"Lab, SNP, Glasgow First, Lab","Lab, SNP, Lab, SNP",3,2
glasgow12/glasgow12-11.blt,AIJM,AIJM,AIJM,0.929102542,0.929102542,0.206294311,0.206294311,"SNP, Grn, Lab, Lab","SNP, Lab, Lab, Grn",3,3
w-duns12-ballots/w-duns12-01.blt,AEF,AEF,AEF,0.905006766,0.905006766,0.289580514,0.289580514,"Lab, Lab, SNP","Lab, Lab, SNP",2,2
w-duns12-ballots/w-duns12-03.blt,DFHI,ADFH,DFHI,0.961903026,0.868209989,0.347247539,0.445315348,"Lab, Lab, Ind, SNP","Lab, Lab, SNP, SNP",3,2
w-duns12-ballots/w-duns12-02.blt,ACDF,ACDF,ACDF,0.955498922,0.955498922,0.383454225,0.383454225,"Lab, Soc, SNP, Lab","Lab, Lab, Soc, SNP",3,3
w-duns12-ballots/w-duns12-06.blt,ABFH,ABGH,ABFH,0.983375085,0.93532225,0.414028695,0.492370758,"Lab, SNP, Lab, Ind","Lab, Lab, SNP, SNP",3,2
w-duns12-ballots/w-duns12-05.blt,BDEF,ABDF,BDEF,0.988366989,0.937445127,0.494073749,0.55904302,"Lab, SNP, Lab, Ind","Lab, Lab, SNP, SNP",3,2
w-duns12-ballots/w-duns12-04.blt,CFG,CFG,CFG,0.948825503,0.948825503,0.42253915,0.42253915,"Lab, Lab, SNP","Lab, Lab, SNP",2,2
stirling12-ballots/stirling12-05.blt,ACD,ACD,ACD,0.988899852,0.988899852,0.506906759,0.506906759,"SNP, Lab, Con","SNP, Lab, Con",3,3
stirling12-ballots/stirling12-04.blt,ACG,ACG,ACG,0.840039907,0.840039907,0.231459927,0.231459927,"SNP, Lab, Lab","Lab, SNP, Lab",2,2
stirling12-ballots/stirling12-06.blt,CEF,CEF,CEF,0.90946715,0.90946715,0.500775996,0.500775996,"SNP, Lab, Lab","Lab, Lab, SNP",2,2
stirling12-ballots/stirling12-07.blt,ACG,ACG,ACG,0.941461935,0.941461935,0.373976342,0.373976342,"SNP, Lab, Lab","Lab, SNP, Lab",2,2
stirling12-ballots/stirling12-03.blt,CDEF,BCDE,CDEF,0.99250594,0.893072564,0.303966368,0.429720344,"SNP, Con, Lab, Grn","SNP, Lab, Grn, SNP",4,3
stirling12-ballots/stirling12-02.blt,AEG,AEG,AEG,0.829535684,0.829535684,0.177773001,0.177773001,"Con, SNP, SNP","SNP, SNP, Con",2,2
stirling12-ballots/stirling12-01.blt,BCF,BCF,BCF,0.889936366,0.889936366,0.387933066,0.387933066,"Con, SNP, SNP","SNP, SNP, Con",2,2
glasgow2007 preflib/greater pollok.txt,CDEG,CDEG,CDEG,0.887007602,0.887007602,0.42133149,0.42133149,"SNP, Lab, Lab, Lab","Lab, Lab, Lab, SNP",2,2
glasgow2007 preflib/craigton.txt,DEFJ,ADEJ,DEFJ,0.895946435,0.883098082,0.2446616,0.434672457,"SNP, Lab, Sol, Lab","Lab, Lab, Lab, SNP",3,2
glasgow2007 preflib/maryhill.txt,ACEH,ACEH,ACEH,0.925765074,0.925765074,0.398141602,0.398141602,"SNP, Lab, LD, Lab","SNP, Lab, LD, Lab",3,3
glasgow2007 preflib/baillieston.txt,BDFG,BDGH,BDFG,0.873361604,0.883962992,0.275636083,0.38887818,"SNP, Lab, Lab, SNP","Lab, SNP, Lab, Lab",2,2
glasgow2007 preflib/north east.txt,ACFJ,ACFJ,ACFJ,0.916297979,0.916297979,0.54585675,0.54585675,"Lab, SNP, Lab, Lab","Lab, Lab, Lab, SNP",2,2
glasgow2007 preflib/linn.txt,CFGH,BCFG,CFGH,0.876554824,0.811121564,0.20800669,0.368663113,"SNP, Lab, LD, Lab","Lab, Lab, Lab, SNP",3,2
glasgow2007 preflib/garscadden.txt,BEGI,BEGI,BEGI,0.906397638,0.906397638,0.513681102,0.513681102,"Lab, SNP, Lab, Lab","Lab, Lab, Lab, SNP",2,2
glasgow2007 preflib/govan.txt,ACDF,ACDF,ACDF,0.878033473,0.878033473,0.475941423,0.475941423,"SNP, Lab, Lab, Lab","SNP, Lab, Lab, Lab",2,2
glasgow2007 preflib/newlands.txt,DEG,DEG,DEG,0.793043679,0.793043679,0.325976427,0.325976427,"SNP, Lab, Lab","Lab, Lab, SNP",2,2
glasgow2007 preflib/eastcentre.txt,BEFJ,BEFJ,BEFJ,0.839612249,0.839612249,0.395351399,0.395351399,"SNP, Lab, Lab, Lab","Lab, Lab, Lab, SNP",2,2
glasgow2007 preflib/calton.txt,HIJ,HIJ,HIJ,0.846508944,0.846508944,0.425274091,0.425274091,"Lab, SNP, Lab","Lab, Lab, SNP",2,2
glasgow2007 preflib/langside.txt,ABD,ABD,ABD,0.877973002,0.877973002,0.17538033,0.17538033,"SNP, Lab, LD","Lab, SNP, LD",3,3
glasgow2007 preflib/drumchapel.txt,ADFJ,ADFJ,ADFJ,0.911520737,0.911520737,0.523156682,0.523156682,"Lab, SNP, Lab, Lab","Lab, Lab, Lab, SNP",2,2
glasgow2007 preflib/partick.txt,BCFG,BCFG,BCFG,0.914077213,0.914077213,0.258474576,0.258474576,"SNP, LD, Grn, Lab","SNP, LD, Grn, Lab",4,4
glasgow2007 preflib/hillhead.txt,CEIJ,CGIJ,CEIJ,0.923085485,0.826246661,0.200690116,0.26769813,"SNP, Grn, LD, Lab","Grn, LD, SNP, LD",4,3
glasgow2007 preflib/shettleston.txt,GHIJ,GHIJ,GHIJ,0.865046007,0.865046007,0.470067023,0.470067023,"SNP, Lab, Lab, Lab","Lab, Lab, Lab, SNP",2,2
glasgow2007 preflib/canal.txt,DFGH,DFHK,DFGH,0.894828386,0.858998145,0.259972171,0.427643785,"SNP, Lab, Lab, Grn","Lab, SNP, Lab, Lab",3,2
glasgow2007 preflib/anderston.txt,ACGH,ACGH,ACGH,0.921014493,0.921014493,0.352463768,0.352463768,"SNP, Lab, Grn, Lab","Lab, Lab, SNP, Grn",3,3
glasgow2007 preflib/pollokshields.txt,CEF,CDF,CFG,0.833385596,0.811539668,0.268422703,0.258492735,"Lab, SNP, Con","Lab, SNP, Grn",3,3
glasgow2007 preflib/southsidecentral.txt,BGHI,ABGI,BGHI,0.922980087,0.869077592,0.254177157,0.405355917,"SNP, Lab, Lab, Grn","Lab, SNP, Lab, Lab",3,2
glasgow2007 preflib/springburn.txt,DHJ,DHJ,DHJ,0.892236599,0.892236599,0.485027726,0.485027726,"Lab, Lab, SNP","Lab, Lab, SNP",2,2
fife12-ballots/fife12-04.blt,CDEF,CDEF,CDEF,0.970888927,0.970888927,0.367527292,0.367527292,"Lab, Lab, LD, SNP","Lab, Lab, LD, SNP",3,3
fife12-ballots/fife12-10.blt,BCG,BCE,BCG,0.915481172,0.826987448,0.106276151,0.212761506,"Lab, SNP, LD","Lab, SNP, Lab",3,2
fife12-ballots/fife12-11.blt,AEG,AEG,AEG,0.934103261,0.934103261,0.342617754,0.342617754,"Lab, Lab, SNP","Lab, Lab, SNP",2,2
fife12-ballots/fife12-05.blt,ABG,ABG,ABG,0.908408797,0.908408797,0.339974127,0.339974127,"SNP, Lab, Lab","Lab, Lab, SNP",2,2
fife12-ballots/fife12-13.blt,ABE,ABE,ABE,0.913078579,0.913078579,0.306512379,0.306512379,"Lab, Lab, SNP","Lab, Lab, SNP",2,2
fife12-ballots/fife12-07.blt,CEF,BCF,CEF,0.972356414,0.892646269,0.265432099,0.490874933,"Lab, Ind, SNP","Lab, Ind, Lab",3,2
fife12-ballots/fife12-06.blt,CDEG,BCDG,CDEG,0.973454613,0.876183404,0.249675144,0.46649341,"SNP, Con, Lab, Lab","SNP, Lab, Lab, SNP",3,2
fife12-ballots/fife12-12.blt,ABD,ABD,ABD,0.919466285,0.919466285,0.349058852,0.349058852,"Lab, SNP, Lab","Lab, Lab, SNP",2,2
fife12-ballots/fife12-16.blt,BEF,BEF,BEF,0.947720515,0.947720515,0.3228444,0.3228444,"SNP, Lab, Lab","SNP, Lab, Lab",2,2
fife12-ballots/fife12-02.blt,BCD,BCD,BCD,0.928197065,0.928197065,0.580188679,0.580188679,"SNP, Lab, Lab","Lab, Lab, SNP",2,2
fife12-ballots/fife12-03.blt,BCEG,BCEG,BCEG,0.953225526,0.953225526,0.313510694,0.313510694,"Lab, LD, Lab, SNP","Lab, Lab, LD, SNP",3,3
fife12-ballots/fife12-17.blt,BCG,ABC,BCG,0.90977918,0.856572029,0.129127234,0.149737119,"LD, SNP, Con","LD, SNP, LD",3,2
fife12-ballots/fife12-01.blt,ABGH,ABCG,ABGH,0.930394799,0.843507214,0.345489139,0.431266846,"Lab, Lab, SNP, Ind","Lab, Lab, SNP, SNP",3,2
fife12-ballots/fife12-15.blt,ABCE,ABCE,ABCE,0.943976016,0.943976016,0.284616826,0.284616826,"Lab, SNP, Lab, SNP","SNP, Lab, Lab, SNP",2,2
fife12-ballots/fife12-14.blt,BCDF,BCDF,BCDF,0.91969112,0.91969112,0.276061776,0.276061776,"Lab, Lab, SNP, SNP","Lab, SNP, SNP, Lab",2,2
fife12-ballots/fife12-19.blt,DEGI,CDEH,DEGI,0.917705736,0.751983677,0.155066878,0.214010428,"LD, Con, SNP, Lab","LD, LD, LD, Con",4,2
fife12-ballots/fife12-18.blt,ABE,ABE,ABE,0.904771871,0.904771871,0.394935119,0.394935119,"SNP, LD, LD","LD, LD, SNP",2,2
fife12-ballots/fife12-23.blt,ADFI,ADFI,ADFI,0.975725281,0.975725281,0.425103612,0.425103612,"Lab, Ind, Lab, SNP","Lab, Ind, Lab, SNP",3,3
fife12-ballots/fife12-22.blt,ABDE,ABDE,ABDE,0.866012519,0.866012519,0.220267298,0.220267298,"SNP, Lab, SNP, Lab","SNP, SNP, Lab, Lab",2,2
fife12-ballots/fife12-20.blt,BCD,BCD,BCD,0.859236796,0.859236796,0.331058883,0.331058883,"LD, SNP, LD","LD, LD, SNP",2,2
fife12-ballots/fife12-08.blt,ABD,ABD,ABD,0.97409606,0.97409606,0.533998921,0.533998921,"Lab, Lab, SNP","Lab, Lab, SNP",2,2
fife12-ballots/fife12-09.blt,ABC,ABC,ABC,0.982608696,0.982608696,0.556811594,0.556811594,"Lab, Lab, SNP","Lab, Lab, SNP",2,2
fife12-ballots/fife12-21.blt,BDE,BDE,BDE,0.945196361,0.945196361,0.351009541,0.351009541,"Ind, LD, SNP","Ind, LD, SNP",3,3
e-lothian12-ballots/e-lothian12-05.blt,ABD,ABD,ABD,0.960661226,0.960661226,0.249633815,0.249633815,"Con, Lab, SNP","Con, Lab, SNP",3,3
e-lothian12-ballots/e-lothian12-04.blt,ADEG,ADEG,ADEG,0.944949225,0.944949225,0.528594335,0.528594335,"Lab, Lab, Lab, SNP","Lab, Lab, Lab, SNP",2,2
e-lothian12-ballots/e-lothian12-06.blt,DEF,BDF,DEF,0.960078965,0.907655188,0.347444615,0.406887475,"Lab, SNP, Con","Lab, SNP, LD",3,3
e-lothian12-ballots/e-lothian12-07.blt,BCD,BDF,BCD,0.974320565,0.84271346,0.142948855,0.279905842,"Lab, SNP, Con","SNP, Lab, SNP",3,2
e-lothian12-ballots/e-lothian12-03.blt,ACDE,ACDE,ACDE,0.9379715,0.9379715,0.690695725,0.690695725,"Lab, Lab, SNP, SNP","Lab, Lab, SNP, SNP",2,2
e-lothian12-ballots/e-lothian12-02.blt,ACD,ABD,ACD,0.973329947,0.900685801,0.293624587,0.458724917,"Ind, SNP, Lab","Lab, Lab, Ind",3,2
e-lothian12-ballots/e-lothian12-01.blt,DEG,DEG,DEG,0.882456656,0.882456656,0.435791948,0.435791948,"Lab, SNP, SNP","Lab, SNP, SNP",2,2
e-renfs17-ballots/e-renfs17-1.blt,CDEH,ACDE,CDEH,0.982609925,0.919977379,0.212780998,0.271454828,"Ind, Lab, Con, SNP","Ind, SNP, SNP, Lab",4,3
e-renfs17-ballots/e-renfs17-2.blt,CFG,BCG,CFG,0.955078448,0.827580512,0.265235343,0.328654005,"Con, SNP, Lab","Con, Lab, Con",3,2
e-renfs17-ballots/e-renfs17-3.blt,DHI,DFI,DHI,0.905595787,0.759052008,0.152468729,0.248057933,"SNP, Con, Lab","Con, Con, Lab",3,2
e-renfs17-ballots/e-renfs17-4.blt,AEGJ,CDEG,AEGJ,0.952955013,0.767225326,0.041556405,0.288542586,"SNP, Ind, Lab, Con","Con, Con, Ind, Ind",4,3
e-renfs17-ballots/e-renfs17-5.blt,ACEH,ACEH,ACEH,0.929090351,0.929090351,0.458610457,0.458610457,"Con, Con, Con, SNP","Con, Con, Con, SNP",2,2
moray22/file141902.txt,ACDE,ACDE,ACDE,0.97589141,0.97589141,0.453403566,0.453403566,"SNP, Con, Ind, Con","Con, Con, Ind, SNP",3,3
moray22/file141915.txt,ACE,ACE,ACE,0.970950271,0.970950271,0.397095027,0.397095027,"SNP, Lab, Con","Lab, SNP, Con",3,3
moray22/file141913.txt,BCF,BCF,BCF,0.978792822,0.978792822,0.311582382,0.311582382,"SNP, Lab, Con","Lab, SNP, Con",3,3
moray22/file141922.txt,ABCE,BCEF,ABCE,0.96070662,0.977876837,0.357602774,0.385504375,"SNP, Con, Con, Grn","SNP, Con, Con, Lab",3,3
moray22/file141894.txt,BCD,BCD,BCD,0.954545455,0.954545455,0.41958042,0.41958042,"SNP, Con, Con","SNP, Con, Con",2,2
moray22/file141896.txt,ACD,CDE,ACD,0.978228228,0.944444444,0.214214214,0.360860861,"Con, SNP, Lab","Con, SNP, SNP",3,2
moray22/file141884.txt,BCE,BCE,BCE,0.987114174,0.987114174,0.455798622,0.455798622,"SNP, Con, Ind","SNP, Ind, Con",3,3
eilean-siar22/ward09_preferenceprofile.txt,BCDJ,BCDJ,BCDJ,0.947562777,0.947562777,0.270310192,0.270310192,"SNP, Ind, Ind, Ind","Ind, Ind, SNP, Ind",4,4
eilean-siar22/ward_05_preferenceprofile.txt,BC,BC,BC,0.918918919,0.918918919,0.607520564,0.607520564,"Ind, Ind","Ind, Ind",2,2
eilean-siar22/ward_03_preferenceprofile.txt,BC,BC,BC,0.945537065,0.945537065,0.656580938,0.656580938,"Ind, Ind","Ind, Ind",2,2
eilean-siar22/ward07_preferenceprofile.txt,CDE,CDE,CDE,0.953790614,0.953790614,0.157400722,0.157400722,"SNP, Ind, Ind","Ind, SNP, Ind",3,3
eilean-siar22/ward08_preferenceprofile.txt,ACE,ABC,ACE,0.977698483,0.950044603,0.373773417,0.43175736,"Ind, Ind, SNP","Ind, Ind, Ind",3,3
eilean-siar22/ward_04_preferenceprofile.txt,AB,AB,AB,0.972936401,0.972936401,0.629228687,0.629228687,"Ind, Ind","Ind, Ind",2,2
eilean-siar22/ward02_preferenceprofile.txt,EFG,BFG,EFG,0.86906585,0.846094946,0.072741194,0.120980092,"Ind, SNP, Ind","Ind, SNP, Ind",3,3
eilean-siar22/ward10_preferenceprofile.txt,CEFG,CEFG,CEFG,0.957814661,0.957814661,0.349930844,0.349930844,"Ind, Ind, SNP, SNP","Ind, Ind, SNP, SNP",3,3
glasgow22/Ward5.blt,ABDF,ABDI,ABDF,0.915272615,0.88197026,0.081784387,0.220724907,"Lab, SNP, SNP, Grn","SNP, SNP, SNP, Lab",3,2
glasgow22/Ward18.blt,ABEK,ABEK,ABEK,0.924392698,0.924392698,0.224378324,0.224378324,"Lab, SNP, SNP, Lab","Lab, SNP, SNP, Lab",2,2
glasgow22/Ward19.blt,BDFH,BCDF,BDFH,0.978136882,0.917028789,0.343020098,0.36922868,"SNP, Lab, Con, Lab","Lab, Lab, SNP, SNP",3,2
glasgow22/Ward4.blt,DEFI,DEFI,DEFI,0.949136724,0.949136724,0.397690154,0.397690154,"SNP, Lab, Lab, SNP","Lab, Lab, SNP, SNP",2,2
glasgow22/Ward6.blt,BDFG,BDFG,BDFG,0.8910442,0.8910442,0.260181432,0.260181432,"Grn, Lab, SNP, SNP","Grn, SNP, SNP, Lab",3,3
glasgow22/Ward7.blt,ABCD,ABCD,ABCD,0.937665082,0.937665082,0.329283325,0.329283325,"Grn, SNP, Lab, SNP","Grn, SNP, SNP, Lab",3,3
glasgow22/Ward3.blt,ABDI,ABDI,ABDI,0.928853309,0.928853309,0.444469501,0.444469501,"Lab, SNP, Lab, SNP","Lab, Lab, SNP, SNP",2,2
glasgow22/Ward22.blt,ABE,ABG,ABE,0.966874085,0.769033675,0.187591508,0.400988287,"Lab, Grn, SNP","SNP, Grn, SNP",3,2
glasgow22/Ward23.blt,ACDE,ACDE,ACDE,0.938617926,0.938617926,0.205942723,0.205942723,"Lab, Grn, SNP, Lab","Lab, Lab, Grn, SNP",3,3
glasgow22/Ward2.blt,ABC,ACD,ABC,0.856972902,0.854461335,0.055122274,0.152544613,"SNP, Lab, Grn","Lab, SNP, Lab",3,2
glasgow22/Ward21.blt,ABC,ABC,ABC,0.940457676,0.940457676,0.267496112,0.267496112,"Lab, SNP, Lab","Lab, Lab, SNP",2,2
glasgow22/Ward20.blt,DEG,ADE,DEG,0.963473467,0.909993108,0.093177119,0.186078567,"Lab, SNP, Con","Lab, Lab, SNP",3,2
glasgow22/Ward1.blt,BDFH,BDFH,BDFH,0.889704247,0.889704247,0.266066266,0.266066266,"Lab, SNP, SNP, Lab","Lab, SNP, SNP, Lab",2,2
glasgow22/Ward11.blt,ACF,ACF,ACF,0.961444043,0.961444043,0.558555957,0.558555957,"Grn, SNP, Lab","Grn, SNP, Lab",3,3
glasgow22/Ward10.blt,BCGH,BCGH,BCGH,0.947884941,0.947884941,0.391201354,0.391201354,"Grn, Lab, SNP, SNP","SNP, Grn, SNP, Lab",3,3
